clip-index,trick-index,trick,switch / nollie,line,slowmo,obstacle,obstacle-detailed,location,video,year,notes,crust,,
49,54,bs noseblunt to bs revert,,,,transition,street quarter,Afro Banks,Decade of Destruction,2005,, ,,

50,55,salflip to fs tail,,,,transition,pool,,Decade of Destruction,2005,,1,,

1,1,Roll in,,1,,bank,into bank,,Inhabitants,2007,,,,

1,2,360 flip,,1,,flat,,,Inhabitants,2007,,,,

1,3,ollie,,1,,gap,bank to bank,,Inhabitants,2007,,1,,

2,3,ollie,,,,gap,bank to bank,,Inhabitants,2007,alternate angle of trick 3,1,,

3,4,switch fs 5-0 to fs tailslide to fs 180,1,,,ledge,,,Inhabitants,2007,,,,

4,5,fs wallride,,,,wall,bank to wall,Barcelona,Inhabitants,2007,,,,

5,6,fs wallride yank out,,,,transition,trans to wall,Barcelona,Inhabitants,2007,,,,

6,7,ollie to fs lipslide,,1,,transition,,Barcelona,Inhabitants,2007,,,,

6,8,fs boneless,,1,,transition,,Barcelona,Inhabitants,2007,,,,

7,9,ollie,,,,gap,into bank,,Inhabitants,2007,,1,,

8,10,switch ollie,1,1,,stairs,up stairs,,Inhabitants,2007,,,,

8,11,switch wallie to switch bs tailslide,1,1,,ledge,banked ledge,,Inhabitants,2007,,,,

9,12,nollie,1,,,stairs,double set,,Inhabitants,2007,,1,,

10,13,bs bluntslide to fakie,,1,,ledge,banked ledge,,Inhabitants,2007,,1,,

10,14,switch fs tailslide to fs revert ,1,1,,ledge,banked ledge,,Inhabitants,2007,,1,,

